order_id,order_date,customer_id
1,2024-01-17,1326
2,2024-01-29,1136
3,2024-01-17,1560
4,2024-01-15,3176
5,2024-01-03,957
6,2024-01-20,4024
7,2024-01-25,4746
8,2024-01-17,2726
9,2024-01-25,1292
10,2024-01-16,4064
11,2024-01-15,3160
12,2024-01-07,1678
13,2024-01-02,609
14,2024-01-04,3388
15,2024-01-13,2620
16,2024-01-29,4849
17,2024-01-01,4603
18,2024-01-09,2437
19,2024-01-15,277
20,2024-01-15,338
21,2024-01-24,4854
22,2024-01-09,1439
23,2024-01-07,2791
24,2024-01-30,4436
25,2024-01-28,3687
26,2024-01-09,4988
27,2024-01-02,4753
28,2024-01-12,3418
29,2024-01-16,2666
30,2024-01-07,2805
31,2024-01-30,3357
32,2024-01-27,2092
33,2024-01-05,242
34,2024-01-07,4540
35,2024-01-25,3641
36,2024-01-26,3594
37,2024-01-29,2383
38,2024-01-15,1264
39,2024-01-20,1573
40,2024-01-17,2813
41,2024-01-13,3033
42,2024-01-12,2862
43,2024-01-30,3720
44,2024-01-13,840
45,2024-01-25,1807
46,2024-01-22,382
47,2024-01-20,3558
48,2024-01-02,3564
49,2024-01-05,2678
50,2024-01-04,4102
51,2024-01-29,3119
52,2024-01-09,4873
53,2024-01-19,1108
54,2024-01-17,4835
55,2024-01-15,2828
56,2024-01-26,680
57,2024-01-12,462
58,2024-01-25,211
59,2024-01-24,964
60,2024-01-01,2159
61,2024-01-28,1597
62,2024-01-14,1094
63,2024-01-17,4445
64,2024-01-21,2873
65,2024-01-19,929
66,2024-01-06,350
67,2024-01-26,411
68,2024-01-03,3840
69,2024-01-09,1212
70,2024-01-30,684
71,2024-01-13,1051
72,2024-01-11,2784
73,2024-01-21,4714
74,2024-01-18,4995
75,2024-01-30,4710
76,2024-01-18,2084
77,2024-01-01,2870
78,2024-01-17,993
79,2024-01-17,3373
80,2024-01-08,2286
81,2024-01-17,2310
82,2024-01-22,968
83,2024-01-09,2745
84,2024-01-08,2996
85,2024-01-27,3991
86,2024-01-23,2508
87,2024-01-20,3823
88,2024-01-24,347
89,2024-01-24,3567
90,2024-01-13,822
